City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
seoul,37.5683,126.9778,67.57,28,0,9.22,KR,1651629520
gazanjyk,39.2446,55.5154,64.47,74,99,5.59,TM,1651629699
talcahuano,-36.7167,-73.1167,53.8,88,90,8.61,CL,1651629699
sainte-rose,16.3324,-61.6979,78.84,83,75,3.44,GP,1651629700
rafaela,-31.2503,-61.4867,54.99,51,0,4.34,AR,1651629623
casablanca,33.5928,-7.6192,60.33,72,40,5.99,MA,1651629696
dasoguz,41.8363,59.9666,62.76,70,100,5.03,TM,1651629701
tucuman,-26.8241,-65.2226,53.11,70,0,3.96,AR,1651629617
okoneshnikovo,54.8377,75.0834,47.86,50,7,3.89,RU,1651629702
ixtapa,20.7,-105.2,76.23,77,100,3.0,MX,1651629702
byron bay,-28.65,153.6167,73.29,74,46,4.16,AU,1651629569
kaitangata,-46.2817,169.8464,61.57,60,7,4.32,NZ,1651629703
mackenzie,55.2999,-123.1698,47.14,81,100,8.28,CA,1651629624
meulaboh,4.1363,96.1285,77.95,86,100,7.05,ID,1651629704
castro,-24.7911,-50.0119,61.88,96,100,8.81,BR,1651629704
catuday,16.2923,119.8062,83.46,67,94,4.45,PH,1651629705
gizo,-8.103,156.8419,84.88,68,59,4.65,SB,1651629706
waipawa,-41.4122,175.5153,63.18,60,14,8.16,NZ,1651629707
jasper,37.2001,-94.3502,54.05,77,79,1.01,US,1651629708
dodge city,37.7528,-100.0171,53.94,78,2,8.99,US,1651629709
thinadhoo,0.5333,72.9333,79.77,87,100,19.28,MV,1651629411
mulchen,-37.7167,-72.2333,53.42,83,100,7.65,CL,1651629710
san fernando,15.0286,120.6898,92.91,42,95,4.88,PH,1651629710
claveria,18.6074,121.0832,85.1,70,81,3.49,PH,1651629711
san policarpo,12.1791,125.5072,83.68,68,32,10.2,PH,1651629712
punta cardon,11.6581,-70.215,79.75,81,39,32.28,VE,1651629712
oakland,42.6667,-83.3999,50.56,91,100,13.8,US,1651629322
salalah,17.0151,54.0924,81.55,56,0,2.04,OM,1651629713
florianopolis,-27.6146,-48.5012,63.7,98,100,12.12,BR,1651629714
hvide sande,56.0045,8.1294,39.09,81,36,3.85,DK,1651629715
sukhoy log,56.9094,62.0296,44.89,54,30,7.31,RU,1651629715
tiksi,71.6872,128.8694,18.73,80,7,3.29,RU,1651629716
trairi,-3.2778,-39.2689,79.21,86,100,8.55,BR,1651629716
liepaja,56.5419,21.0367,24.78,100,0,2.3,LV,1651629717
kafue,-15.7691,28.1814,55.87,89,23,3.31,ZM,1651629718
manzhouli,49.6,117.4333,65.55,34,57,16.04,CN,1651629718
port blair,11.6667,92.75,80.69,82,99,7.92,IN,1651629719
olavarria,-36.8927,-60.3225,50.02,77,3,7.34,AR,1651629720
biltine,14.5333,20.9167,86.05,31,44,2.59,TD,1651629721
moundou,8.5667,16.0833,79.36,66,100,4.65,TD,1651629722
lubango,-14.9172,13.4925,56.68,66,44,7.25,AO,1651629722
riyadh,24.6877,46.7219,77.14,19,0,8.43,SA,1651629490
chiredzi,-21.05,31.6667,60.66,92,6,1.88,ZW,1651629723
imbituba,-28.24,-48.6703,64.85,95,100,14.5,BR,1651629724
troitsko-pechorsk,62.7084,56.1964,35.98,98,100,7.23,RU,1651629725
les cayes,18.2,-73.75,76.98,87,2,4.9,HT,1651629725
ternate,0.8,127.4,85.01,69,27,3.53,ID,1651629726
balkhash,46.844,74.9804,48.81,49,75,22.37,KZ,1651629726
komsomolskiy,40.4272,71.7189,70.52,52,100,2.3,UZ,1651629727
xinyu,27.8043,114.9334,73.76,57,93,2.84,CN,1651629629
ipixuna,-1.7625,-48.8043,73.67,98,100,2.37,BR,1651629728
dingle,10.9995,122.6711,85.75,67,100,10.78,PH,1651629729
skhisma,35.2667,25.7167,60.84,83,41,9.04,GR,1651629729
howard,39.2504,-76.933,64.6,81,100,1.99,US,1651629730
rawson,-43.3002,-65.1023,62.64,48,100,14.99,AR,1651629664
canutama,-6.5339,-64.3831,73.94,97,98,2.35,BR,1651629732
tula,54.2044,37.6111,44.74,87,99,5.91,RU,1651629732
provideniya,64.3833,-173.3,19.51,68,75,13.42,RU,1651629733
mount isa,-20.7333,139.5,82.17,28,0,8.05,AU,1651629696
portogruaro,45.7753,12.8386,60.19,85,98,1.34,IT,1651629734
pitimbu,-7.4706,-34.8086,79.52,84,24,11.95,BR,1651629735
lima,-12.0432,-77.0282,70.9,73,0,8.05,PE,1651629205
kupang,-10.1667,123.5833,86.85,61,86,11.48,ID,1651629670
nyimba,-14.5566,30.8149,59.85,90,85,2.39,ZM,1651629736
vanimo,-2.6741,141.3028,82.89,82,79,2.1,PG,1651629736
lavrentiya,65.5833,-171.0,19.13,72,97,5.79,RU,1651629653
pochutla,15.7432,-96.4661,82.81,64,100,7.58,MX,1651629737
yunyang,33.4474,112.7142,74.35,46,0,10.54,CN,1651629738
erenhot,43.6475,111.9767,73.89,7,40,16.11,CN,1651629738
jiangyin,31.9282,120.3126,75.97,35,0,8.88,CN,1651629739
tibati,6.4667,12.6333,67.26,93,100,4.32,CM,1651629739
te anau,-45.4167,167.7167,61.43,55,23,1.12,NZ,1651629740
arroyo,41.6096,-4.7969,47.14,85,0,6.91,ES,1651629677
natchez,31.5604,-91.4032,72.84,91,0,0.0,US,1651629741
itarema,-2.9248,-39.9167,78.62,90,100,10.49,BR,1651629741
san cristobal,7.7669,-72.225,66.85,80,50,2.53,VE,1651629742
waingapu,-9.6567,120.2641,86.02,65,44,14.27,ID,1651629742
onega,63.9061,38.1404,27.23,82,95,12.71,RU,1651629743
bambous virieux,-20.3428,57.7575,74.21,80,5,10.11,MU,1651629743
hami,42.8,93.45,80.4,9,75,2.39,CN,1651629744
golyshmanovo,56.3979,68.3728,45.79,54,0,9.13,RU,1651629745
san patricio,28.017,-97.5169,79.07,87,1,10.76,US,1651629745
izyaslav,50.1195,26.8213,43.95,88,72,5.97,UA,1651629746
kushima,31.4583,131.2333,70.03,52,100,5.82,JP,1651629746
praia,14.9215,-23.5087,70.02,85,10,12.08,CV,1651629747
faya,18.3851,42.4509,66.18,54,0,3.11,SA,1651629748
unirea,44.15,23.1833,46.98,78,44,4.14,RO,1651629749
paita,-5.0892,-81.1144,68.2,81,59,13.06,PE,1651629749
grindavik,63.8424,-22.4338,34.27,80,75,13.8,IS,1651629750
qasigiannguit,68.8193,-51.1922,26.85,96,100,7.94,GL,1651629751
turukhansk,65.8167,87.9833,26.83,81,100,14.79,RU,1651629752
aksarka,66.5606,67.7975,34.72,100,100,17.74,RU,1651629752
vila velha,-20.3297,-40.2925,78.75,83,20,11.5,BR,1651629753
klyuchi,52.2667,79.1667,46.94,32,20,10.07,RU,1651629754
sabha,27.0377,14.4283,67.73,27,25,13.24,LY,1651629754
batemans bay,-35.7167,150.1833,73.44,49,29,5.7,AU,1651629755
ancud,-41.8697,-73.8203,53.22,97,100,9.66,CL,1651629747
coihaique,-45.5752,-72.0662,40.93,98,100,5.91,CL,1651629669
tura,25.5198,90.2201,77.36,64,2,1.63,IN,1651629756
bac lieu,9.285,105.7244,85.6,66,58,8.66,VN,1651629757
geraldton,-28.7667,114.6,66.61,52,11,28.77,AU,1651629758
bima,-8.4667,118.7167,87.04,67,98,5.91,ID,1651629759
kismayo,-0.3582,42.5454,78.51,86,100,11.34,SO,1651629759
caribou,46.8606,-68.012,54.84,50,100,6.4,US,1651629760
kununurra,-15.7667,128.7333,93.18,36,0,11.5,AU,1651629761
itororo,-15.1169,-40.0703,66.0,94,27,2.26,BR,1651629761
tautira,-17.7333,-149.15,80.94,77,76,12.93,PF,1651629671
ciudad bolivar,8.1222,-63.5497,83.88,59,67,15.41,VE,1651629762
nelson bay,-32.7167,152.15,76.08,64,0,3.0,AU,1651629763
calabozo,8.9242,-67.4293,87.46,42,96,4.99,VE,1651629764
pestravka,52.405,49.9583,45.5,59,34,7.0,RU,1651629764
conceicao do araguaia,-8.2578,-49.2647,76.42,85,100,2.84,BR,1651629742
novonukutskiy,53.7002,102.7117,42.73,73,100,8.66,RU,1651629765
san rafael,-34.6177,-68.3301,58.86,28,4,8.12,AR,1651629468
sfantu gheorghe,45.8667,25.7833,51.93,79,100,0.78,RO,1651629766
ningxiang,37.34,111.2052,69.44,22,100,14.38,CN,1651629767
cookeville,36.1628,-85.5016,74.19,84,0,4.61,US,1651629701
youghal,51.95,-7.8506,51.01,100,93,5.95,IE,1651629768
itaperucu,-25.22,-49.3478,63.12,98,100,4.45,BR,1651629769
moranbah,-22.0016,148.0466,81.41,46,0,12.06,AU,1651629770
pemba,-12.974,40.5178,71.91,82,9,13.87,MZ,1651629771
wanlaweyn,2.6185,44.8938,77.45,84,100,11.54,SO,1651629771
karasjok,69.4719,25.5112,17.06,96,100,5.12,NO,1651629772
requena,39.4883,-1.1004,47.52,87,100,11.34,ES,1651629773
zhicheng,30.2956,111.5047,75.6,47,0,2.48,CN,1651629773
mount gambier,-37.8333,140.7667,58.08,46,43,10.96,AU,1651629774
andenes,69.3143,16.1194,33.78,55,20,24.16,NO,1651629775
maceio,-9.6658,-35.7353,76.44,94,75,2.3,BR,1651629482
karratha,-20.7377,116.8463,86.34,40,0,18.52,AU,1651629776
havre-saint-pierre,50.2334,-63.5986,37.04,90,18,3.04,CA,1651629776
penzance,50.1186,-5.5371,51.8,87,12,6.24,GB,1651629777
urumqi,43.801,87.6005,63.55,52,0,2.24,CN,1651629724
maba,24.6841,113.5984,73.99,62,96,2.98,CN,1651629778
chernenko,44.365,39.3103,42.69,92,73,1.23,RU,1651629779
hongjiang,27.11,109.9956,72.9,56,100,1.81,CN,1651629780
samarai,-10.6167,150.6667,83.59,72,20,7.29,PG,1651629780
ellisras,-23.6649,27.7443,57.13,65,0,2.48,ZA,1651629781
kedrovyy,56.1667,91.8167,36.01,82,100,11.9,RU,1651629782
bergen,60.392,5.328,41.07,85,100,0.0,NO,1651629783
codrington,-38.2667,141.9667,55.24,62,100,12.93,AU,1651629732
bambanglipuro,-7.95,110.2833,84.06,75,90,11.45,ID,1651629784
alice springs,-23.7,133.8833,71.15,33,100,8.05,AU,1651629621
bagdarin,54.4333,113.6,45.45,19,0,14.29,RU,1651629785
sitka,57.0531,-135.33,44.49,76,100,9.22,US,1651629786
burnie,-41.0667,145.9167,58.91,78,100,9.13,AU,1651629622
sisimiut,66.9395,-53.6735,19.65,83,96,13.09,GL,1651629787
tondano,1.3038,124.9112,82.49,60,100,1.14,ID,1651629787
zaoyang,32.1272,112.7542,75.99,42,0,13.51,CN,1651629788
